QUESTION,DIFFICULTY,CORRECT ANSWER
What do plants need to grow?,EASY,Water
What is the hottest season of the year?,EASY,Summer
What part of a plant absorbs water from the soil?,EASY,Root
What falls from the sky during snowstorm?,EASY,Snow
What tool do we use to measure temperature?,EASY,Thermometer
What season comes after summer?,EASY,Fall
Which planet do we live on?,EASY,Earth
What is the center of our solar system?,EASY,Sun
What is the earth’s only natural satellite?,EASY,Moon
What do astronauts use to travel to space?,EASY,Spaceship
What part of the body pumps blood?,EASY,Heart
What do we use to see?,EASY,Eyes
What helps us to hear?,EASY,Ears
What do we use to taste food?,EASY,Tongue
What is ice made of?,EASY,Water
What state of matter is water?,EASY,Liquid
What tool is used to measure weight?,EASY,Scale
What force pulls everything towards the earth?,EASY,Gravity
What kind of energy does the sun provide?,EASY,Solar
What can magnets attract?,EASY,Metal
What do we use to turn on a light?,EASY,Switch
What do plants release into the air that we need to breathe?,EASY,Oxygen
What is the process by which water changes from a liquid to a gas?,EASY,Evaporation
What do bees collect from flowers to make honey?,EASY,Nectar
What technique can be used to separate a mixture of sand and iron filings?,EASY,Magnetic Separation
What process can be used to separate a mixture of water and alcohol?,EASY,Distillation
Which part of the plant is responsible for photosynthesis?,EASY,Leaves
Which ecosystem is characterized by dense trees and high biodiversity?,EASY,Rainforest
Which layer of the Earth is composed mostly of solid rock?,EASY,Crust
Which form of energy is associated with the motion of objects?,EASY,Kinetic Energy
What is the main source of energy for the Earth's climate system?,EASY,Solar Energy
Which system in the human body is responsible for transporting blood?,EASY,Circulatory system
Which organ system includes the brain and spinal cord?,EASY,Nervous system
Which process involves the conversion of sunlight into chemical energy by plants?,EASY,Photosynthesis
What word is given to a place that provides living things with everything they need to survive?,EASY,Habitat
What is the main component of weather? ,EASY,Temperature
What type of cloud is associated with thunderstorms?,EASY,Cumulonimbus
What is the term for the average weather conditions in an area over a long period?,EASY,Climate
What is the chemical symbol for water?,EASY,H2O
Which state of matter has particles that are tightly packed and vibrate in place?,EASY,Solid
Which process changes a solid directly into a gas?,EASY,Sublimation
What is the most abundant gas in the Earth's atmosphere?,EASY,Nitrogen
Which layer of the Earth is liquid?,EASY,Outer core
What type of rock is formed from molten lava?,EASY,Igneous
Which natural disaster is caused by the movement of tectonic plates?,EASY,Earthquake
Which vitamin is essential for strong bones?,EASY,Vitamin D
What is the middle part of the Earth?,EASY,Mantle
What is the name of the closest star to Earth?,EASY,Sun
Identify the planet known as the Red Planet.,EASY,Mars
What is the largest planet in our solar system?,EASY,Jupiter
Name the layer of gases surrounding Earth.,EASY,Atmosphere
What is the hardest natural substance found on Earth?,EASY,Diamond
What is the outer layer of skin called?,EASY,Epidermis
Name the process by which a caterpillar transforms into a butterfly.,EASY,Metamorphosis
Name the planet with the most rings.,EASY,Saturn
Identify the body part used by birds for flying.,EASY,Wings
What is the substance that gives plants their green color?,EASY,Chlorophyll
Name the part of the plant responsible for anchoring it into the ground.,EASY,Roots
"Identify the process by which rocks are broken down into smaller pieces.
",EASY,Weathering
What is the name of the brightest star in the night sky?,EASY,Sirius
Name the substance found in bones that makes them hard.,EASY,Calcium
Identify the body part responsible for smelling.,EASY,Nose
What is the layer of Earth's atmosphere that protects us from harmful ultraviolet radiation?,EASY,Ozone Layer
Name the body part that contains the brain.,EASY,Skull
What is the process by which water returns to the atmosphere from plants?,EASY,Transpiration 
Name the organ responsible for filtering waste from the blood.,EASY,Kidneys
Identify the natural disaster characterized by a violent rotating column of air.,EASY,Tornado
What is the substance found in plant cell walls that provides structure and support?,EASY,Cellulose
What do we call the change of state from a liquid to a solid?,EASY,Freezing
Name the celestial body that Earth orbits around.,EASY,Sun
What is the force that resists motion when two objects rub against each other?,EASY,Friction
What is the substance that gives blood its red color?,EASY,Hemoglobin
Name the layer of Earth's atmosphere where most weather phenomena occur.,EASY,Troposphere
Name the process by which an organism changes over time to better adapt to its environment.,EASY,Evolution
Name the organ responsible for producing insulin in the human body.,EASY,Pancreas
"Identify the planet known as the ""Morning Star.""",EASY,Venus
A male cow is called,EASY,Ox
What part of the body helps you move?,EASY,Muscles
The two holes of the nose are called?,EASY,Nostrils
Legs have feet and arms have ___.,EASY,Hands
What is the young one of a cow called?,EASY,Calf
Dark rain clouds can give out lightning and ____.,EASY,Thunder
Your hands have four fingers and a ____.,EASY,Thumb
What is the boiling point of water?,EASY,100°C
Frog is a reptile or amphibian?,EASY,Amphibian
"When you push something, you apply ____.",EASY,Force
Which group of animals have scales?,EASY,Reptiles
Where does our food collect after we chew and swallow it?,EASY,Stomach
What is the name of a frog’s young one?,EASY,Tadpole
What tissue connects muscles to bones?,EASY,Tendon
Which nutrient plays an essential role in muscle-building?,EASY,Protein
"Plants need which gas to perform photosynthesis?

",EASY,Carbon dioxide
Similar body cells group together to form a ___.,EASY,Tissue
The standard unit of measurement for energy is ____.,EASY,Joule
"What are animals, which eat both plants and animals, called?",EASY,Omnivores
Where would you be most likely to find a worm?,EASY,Soil
What is the largest organ in the human body?,EASY,Skin
Which type of animal lays eggs: mammals or reptiles?,EASY,Reptiles
How many planets are there in our solar system?,EASY,8
What is the name of the phenomenon where the Moon partially or completely covers the Sun? ,EASY,Solar Eclipse